Macrorregião,CRS,Região Saúde,Município
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Agudo
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Dilermando de Aguiar
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Dona Francisca
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Faxinal do Soturno
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Formigueiro
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Itaara
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Ivorá
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Júlio de Castilhos
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Nova Palma
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Paraíso do Sul
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Pinhal Grande
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Quevedos
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Restinga Seca
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Santa Maria
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,São João do Polêsine
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,São Martinho da Serra
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,São Pedro do Sul
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,São Sepé
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Silveira Martins
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Toropi
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Tupanciretã
Centro-Oeste,4ª - Santa Maria,Região 01 - Verdes Campos,Vila Nova do Sul
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Cacequi
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Capão do Cipó
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Itacurubi
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Jaguari
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Jari
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Mata
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Nova Esperança do Sul
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Santiago
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,São Francisco de Assis
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,São Vicente do Sul
Centro-Oeste,4ª - Santa Maria,Região 02 - Entre Rios,Unistalda
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Alegrete
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Barra do Quaraí
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Itaqui
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Maçambará
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Manoel Viana
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Quaraí
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Rosário do Sul
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Santa Margarida do Sul
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Santana do Livramento
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,São Gabriel
Centro-Oeste,10ª - Alegrete,Região 03 - Fronteira Oeste,Uruguaiana
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Arroio do Sal
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Capão da Canoa
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Dom Pedro de Alcântara
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Itati
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Mampituba
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Maquiné
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Morrinhos do Sul
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Terra de Areia
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Torres
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Três Cachoeiras
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Três Forquilhas
Metropolitana,18ª - Osório,Região 04 - Belas Praias,Xangri-lá
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Balneário Pinhal
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Capivari do Sul
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Caraá
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Cidreira
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Imbé
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Mostardas
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Osório
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Palmares do Sul
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Santo Antônio da Patrulha
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Tavares
Metropolitana,18ª - Osório,Região 05 - Bons Ventos,Tramandaí
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Cambará do Sul
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Igrejinha
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Parobé
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Riozinho
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Rolante
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,São Francisco de Paula
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Taquara
Metropolitana,1ª - Porto Alegre,Região 06 - Vale do Paranhana e Costa Serra,Três Coroas
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Araricá
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Campo Bom
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Dois Irmãos
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Estância Velha
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Ivoti
Metropolitana,1ª - Porto Alegre,Região 07 - Vale dos Sinos,Lindolfo Collor
